"ID","ALLAS_NEVE","ALLAS_LEIRASA","MUNKAKOR_ID","HIRDETO_ID","KAPCSOLAT_ID","DIAK_VALLALHATJA","HELYSZIN_ID","KEZDES_IDOPONTJA","BEREZES"
35,"Business Systems Analyst","VanderHouwen has more jobs you may like! Find them here: http://bit.ly/1RIQfgEÂ PLEASE JOIN OUR TALENT NETWORK: http://bit.ly/vhatalentnetworkJoining the Talent Network with VanderHouwen & Associates (VHA) will enhance your job search and application experience. Job listings are mobile-friendly and easy to review, share, or apply. Whether you choose to just leave usÂ your information or apply, we look forward to connecting with you. Â SummaryOur client is looking for a Business Systems Analyst who is Comfortable working in an ambiguous, complex environment with various teams and groups.Qualifications Background in creation of Internal Software desired, as opposed to .com business.Working knowledge of 3D principles preferred.Design Tool experience (AI, Maya, Browzwear, etc.) preferred.",40,38,25,0,16,22-AUG.  -22 00.00.00,000000000,757985
36,"Lead Java Engineer","PLEASE JOIN OUR TALENT NETWORK: http://bit.ly/vhatalentnetwork Joining the Talent Network with VanderHouwen & Associates (VHA) will enhance your job search and application experience. Job listings are mobile-friendly and easy to review, share, or apply. Whether you choose to just leave us your information or apply, we look forward to connecting with you. SummaryAssists supervisor with leadership and coordination of a team designing, implementing, documenting, and maintaining Java web applications. Works with BSA team to obtain requirements, prioritize, and plan the delivery of solutions. Provides guidance and coordination of technical implementations that adhere to enterprise system architecture, design, and implementation standards. Coordinates with other units to identify and schedule delivery of cross-team dependencies. Determines resource requirements and allocations. Assigns tasks to the team members, monitors the alignment with the overall project goals and reports on progress to various levels of management.Responsibilities Works with business representatives, clients, business partners, project managers, and team members to define requirements for applications targeted for the corporate internet/ intranet.Works with project managers, supervisors, and team members to determine work tasks and allocate resources.Leads the development team through solution design, implementation, and deployment in coordination with other IT and business departments.Identifies and resolves design and implementation issues and conflicts.Leads and coordinates the maintenance and enhancement of Internet/Intranet applications. Provides technical support to application administrators and staff.Provides development and production support status updates to management.Develops business relationships with clients and business partners. Strong understanding of client business processes needed.Resolves issues that arise with vendor technical support.Performs other duties as assigned.Qualifications Bachelor degree or equivalent specializing in Computer Science, Math, Business, and/or Engineering.Extensive understanding of web technologies and programming languages. Ability to keep current with emerging internet technologies.5+ years computer programming experience in Java and Java EE. Experience with JSF, Spring, Struts, and Hibernate preferred.Solid background in client/server programming and relational database systems.Outstanding analytical, problem solving, organizational, and detail orientation skills.Strong ability to negotiate, prioritize, determine tasks and allocate resources.Ability to work well under pressure, work with frequent interruptions, and shifting priorities.Maintain confidentiality and project a professional business image.",43,60,12,0,23,22-NOV.  -04 00.00.00,000000000,368283
37,"Project Coordinator II","Genesis10 is seeking MxU Construction Coordinators in Chicago, IL! As an MxU Construction Coordinator, you are responsible for providing technical solutions and managing relationships with the client's MDU product team. Your role is key in moving our clients MDU (multi-dwelling unit) projects from sales throughout completion of construction. You will have a demonstrated passion for account management with an entrepreneurial spirit and passion for client management, eventually managing a small team of temps across Fiber cities in your region. Our clients projects, like their users, span the globe and require managers to keep the big picture in focus. As an MxU CC, you lead complex, multi-disciplinary projects. You plan requirements with internal customers and usher projects through the entire project lifecycle. This includes managing project schedules, identifying risks and clearly communicating goals to project stakeholders. Your projects often span offices, time zones and hemispheres, and it's your job to keep all the players coordinated on the project's progress and deadlines. Responsibilities Manage Salesforce construction project tickets end to end and ensure all SLA's are being met Attend staff meetings and assist Fiber sales with engineering & construction questions as requested by Fiber sales or engineering teams Work with partners closely on the end to end process from site selection to installation including contracts, escalations, scheduling, etc. Work closely with cross-functional teams: Â  construction, legal, product, PR, management team, etc. Partner with the local construction team to provide weekly metrics and updates for each city in your region Own and manage projects with multiple stakeholders, both ongoing and ad hoc basis. Track progress of multiple sites and keep team's progress updated Minimum Qualifications 3-5 years of industry or sales/account management experience working with clients and setting expectations appropriately with strong customer satisfaction scores. Ability to work cross- functionally with Sales & MDU operations, as well as our local sales teams, engineering, marketing, and field management to ensure our client SLA's are explained and executed on time BA/BS degree Project/program management experience; deadline and detail-oriented (PMP preferred) Experience in measuring and improving productivity, and scaling initiatives Preferred Qualifications Proficiency in using Salesforce strongly preferred Understanding of MDU process flow from contract to construction completion. Comfortable with database management & MDU design An understanding of MDU engineering & construction, such as various industry design standards, and construction methods in both condo & tenant MDU environments Flexible (ability to work across different time zones) and able to think quickly Experience training and mentoring junior colleagues If you have the described qualifications and are interested in this exciting opportunity, please apply! About Genesis10: Â  Genesis10 is a leading U.S. business and technology consulting firm with hundreds of clients needing proven talent and solutions to power their strategic initiatives. If you are a high performing telecommunications or IT professional with solid, referenced experience, we want to meet you. Genesis10 recruiters and delivery professionals are highly accomplished career advocates, who get to know you beyond your resume to position you with the opportunities that fit your skills, experience and aspirations. We have benefit options to fit your needs and a support staff that works with you from placement throughout your engagement - project after project. To learn more about Genesis10 and to view all our available career opportunities, please visit us at www.genesis10.com. ""Genesis10 is an Equal Opportunity Employer, M/F/D/V""",25,16,4,1,8,22-JÚN.  -17 00.00.00,000000000,706169
38,"Core Java Developer with distributed computing","Hi,Established in 1998, eTouch Systems is a technology services company that specializes in Digital Web Engineering. We deliver technology services and accelerate growth for Global 1000 companies by solving complex business challenges with breakthrough technical innovations. We partner with leading global hi-tech enterprises to service their business and technology needs. currently working with our direct clients including VMware, Intuit, Cisco, Yahoo, Sony, Google, PG&E & Kaiser amongst others enabling the success of their Software as well as IT infrastructure development initiatives through the quality of our consultants.Role: Core Java Developer with distributed computing Location: Mountain view, CA Duration: 12+ MonthsÂ We are a team with the vision to change the way our customers interact with our products to discover contextual relevant content. With millions of customers using our software you will be part of cutting edge team that is responsible for building highly scalable and distributed search system at scale that renders contextual relevant contents. You will be working with recognized experts, Data Scientist, Data Engineers, Solution Architects in the field to deliver ÂOn-TapÂ Unified Search as a Service & best in class search user experiences for web & mobile.Â Required Skills:Need a strong core Java Developer with some good Data experience. Must have experience with distributed computing.Good working knowledge on Vector Model Search and AWS.Â Please feel free to send your questions on my way at gnagaraju@etouch.net/ 510 585 1527 Å , if you would like to learn more of this need. Thank you.Â Best regards,Raju | eTouch Systems | Desk phone: +1.510.795.4800 X 159Â Cell phone: +1.510.585.1527| Email: gnagaraju@etouch.net | Fax: +1.510.795.4803 | URL: www.etouch.net Â Linked In:Â  http://www.linkedin.com/in/graju/Â Custom Development Solutions| Integration & Support Services| Professional Services6627 Dumbarton Circle | Fremont, CA 94555",42,78,14,0,13,22-AUG.  -28 00.00.00,000000000,227059
1,"AUTOMATION TEST ENGINEER","Looking for Selenium engineers...must have solid java coding skillsÂ I have several openings some 3 month to hire some 6...must be able to go PERMÂ Â This can be someone with 0-5 years of experience. Most important qualities are Eagerness and Aptitude. POSITION PURPOSE - Do you want to be on the forefront of cutting edge technology, introduce solutions to problems that didnÂt exist before, and have the ability to see the result of your successes? Our client assures growth by collaborating with development teams and creating tools that aid engineers in building, testing, debugging, and releasing software. We touch millions of users by increasing the rate of development and ensuring our products are methodically tested. We are experts in software health, testability, and sustainability. As a Software Engineer in Test at our client, you can expect to build flexible and scalable solutions while working on some of the most complex challenges in large-scale computing by utilizing your skills in data structures and object oriented programming. MAJOR TASKS, RESPONSIBILITIES AND KEY ACCOUNTABILITIES - Lead and contribute to engineering efforts from planning to execution and delivery to solve complex engineering problems in tools and testing. Â Design and build advanced automated testing frameworks. Â Build tooling to help Developers measure and increase their velocity. Â Adopt best practices in software health, testing, and sustainability. Â Analyze and break down complex software systems and collaborate with Development teams to improve the overall design. NATURE AND SCOPE - Â Typically reports to Manager Test Engineering Â No associates report to the person in this role on a permanent basis Â Analyze and resolve complex quality issues critical to solution delivery Â Fast-paced environment of freedom and responsibility PREFERRED QUALIFICATIONS Â Hands on Java Development experience Â Proficient in Ab Initio ETL and Batch testing Â Hands-on knowledge of Soap UI, ITKO Lisa, and Selenium Â Hands on experience with Unix, KSH, and Bourne Shell Scripting Â Strong scripting knowledge with Java, Groovy and Jmeter Â Strong development experience working on web services (REST and SOAP) Â Experience building test automation frameworks for web services using Soap UI, Groovy, or Lisa Â Proficient in SQL Â Working knowledge of SVN and Jenkins Â build and development process Â eCommerce/Retail QA experience Â Excellent written and verbal communication skills Â Self-motivated with a strong work ethic and a positive attitude Â Desire to work in a fast-paced, results orientated team Â Experience with a scripting language such as Perl Â Passion to understand, learn, dissect and improve new technologies Â Proficient in one or more of the following: Retail applications, Windows platform, UNIX platforms, JAVA, Relational Databases, Websphere Application Server, Websphere Commerce, Websphere MQ Â Comprehensive understanding of systems, applications and networks KNOWLEDGE, SKILLS, ABILITIES AND COMPETENCIES - Â Proficient in one or more of the following: Retail applications, Windows platform, UNIX platforms, MVS COBOL, JAVA, J2EE, Relational Databases, Websphere Application Server, Websphere Commerce, Websphere MQ, Networking (Voice, LAN, WAN), SAP, Siebel, Peoplesoft Â Comprehensive understanding of systems, applications and networks Â Strong problem solving and analytical skills Â Strong oral and written communication skills Â Ability to coordinate and collaborate across cross-functional teams",39,35,18,0,25,22-JÚL.  -27 00.00.00,000000000,757681
2,"Information Security Engineer","The University of Chicago has a rapidly growing security program with many opportunities for a motivated person to work in a variety of roles and many technical areas. Â This position is responsible for providing incident response, information security assessment, monitoring, and system administration under the general direction of the Information Security Officer and the Lead Information Security Engineer.Â Essential Functions:Â Execute IT Security Network Monitoring and Incident Response procedures.Â Lead or participate in IT Security projects.Â Administer IT Security systems, including updates, backups, and upgradesÂ Consult, advise, and provide security assessment services to application development or acquisition projects to assess security requirements and controls and to ensure that security controls are implemented as planned.Â Research security issues and contribute to IT Security communications, web pages, blogs, and awareness materials.Â Document internal processes, write security standards and guidelines.Â Other duties as assigned Â Qualifications:Bachelor's degree OR a minimum of four years of experience in the Information Technology field OR an equivalent combination of education and experience required. Â Minimum two years of professional experience in a technical Information Security role required.Â Experience administering linux/unix systems is required.Â Experience administering Windows systems is preferred.Â Experience with programming or scripting languages such as Perl or Python strongly preferred. Â The University of Chicago is an Affirmative Action/Equal Opportunity/Disabled/Veterans Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national or ethnic origin, age, status as an individual with a disability, protected veteran status, genetic information, or other protected classes under the law. For additional information please see the University's Notice of Nondiscrimination.Staff Job seekers in need of a reasonable accommodation to complete the application process should call 773-834-1841 or emailÂ talentacquisition@uchicago.eduÂ with their request.",11,42,2,0,18,22-DEC.  -26 00.00.00,000000000,608640
3,"Business Solutions Architect","GalaxE.SolutionsEvery day, our solutions affect people throughout the world. From Fortune 100 companies to start-ups, GalaxE develops and implements strategic projects that are critical to the success of customersÂ businesses and the lives of tens of millions of people.Â For over twenty-five years, we have grown and evolved into a multi-national firm that employs over 2000 team members worldwide. But weÂre not done evolving. It took collaboration and innovation to get here, and it takes collaboration and innovation to get where we (and our customers) want to be tomorrow. Â Â What does this mean for our employees? They have the security of an established company, with the benefits of working for a company where great minds, hard work, leadership and innovation are highly regarded and rewarded.Â As Thomas Edison said, ÂThereÂs a way to do it better Â find itÂ. We want our employees to find it.Â WeÂre looking for creative people, with an entrepreneurial spirit, looking to work on awesome projects! Sound like you? Come work with us! Find out for yourself what it means to be part of the GalaxE team.Â ItÂs not always easy, but important work never is. #WeAreGalaxEÂ Â Develop a practical roadmap for an enterprise-wide BI reporting and analytics platform with consideration to business objectives, technological considerations and budget. Define the overall BI data architecture which could include: ETL processes, ODS, EDW, data marts and data lakes.Provide BI technical and architectural guidance to project and project teams to ensure that new initiatives enable effective data reporting.Develop new reporting solutions if requiredIdentify, evaluate, and provide proposals for solutions to identified process and data quality issuesDocument best practices and methodologies for development standards, data governance, version control, deployment and change management.Perform quality assurance testing of reports and dashboards, and perform user acceptance testing (UAT).Â Technical Experience:Â Â Â Core understanding of Business Intelligence / data warehousing technologies, methodologies, and techniques of: data discovery, data sources, presentation layer, etc., with proven experience with delivering successful solutionsExcellent knowledge of data warehouse principles and reporting.Experience in the design and building of enterprise data warehouses.Extensive experience in BI report, web and mobile dashboard development. Experience in multiple database platformsExperience with data analysis, assessing data quality and developing corrective actionsThorough understanding of complex large scale data modelsUnderstanding of common SDLC practices/methodologiesExperience working with end users to gather requirementsExperience using data discovery toolsUnderstanding of RDBMS",5,30,24,0,14,22-AUG.  -15 00.00.00,000000000,611268
4,"Java Developer (mid level)- FT- GREAT culture, modern technologies, career growth","Java DeveloperFull-time/direct-hireBolingbrook, ILÂ Our client is a leading edge software development organization in a unique and interesting industry, and will provide training to help in on boarding.Â Â  They have an excellent culture which is energetic, challenging, team oriented, casual (jeans are OK), have work/life balance, and an outstanding benefits package. They encourage communication and have an atmosphere where creative bright minds are rewarded.Â Â They are looking for a Java Developer to join their company.Â  This position will give someone the ability to have input in to systems design and grow with the company.Â  This person will work with a team that is focused on the development and maintenance of various applications supporting their clients. Â This position will be building applications from scratch and be very involved in the implementation process.Â  The ability to communicate and work directly with clients is essential. The successful candidate will be a self-directed problem solver with experience in application design, Java/JDBC development, and multi-threading.Â If you are interested, please email your resume or contact KGalecki@TransTechIT.comÂ Overview:The primary application this person will initially be working on serves as a middle tier; backed by a relational database (Oracle, SQL Server, MySQL) via JDBC, and fronted by the companyÂs transaction-based law enforcement message switch via proprietary TCP/IP protocols.Â Primary Responsibilities:- Develop robust, high performance, flexible applications- Analyze and diagnose application errors- Write application documentation- Clearly communicate status to managementÂ Required Skills:- Core Java with experience creating JDBC interfaces to relational Databases- Multithreading (basic experience)- Able to develop and work on a Linux, AIX, or a Unix derived OSÂ - SQL- Socket level messaging (basic experience)- Understanding of data structures- Self-directed problem solving- Be able to clearly communicate both verbally and in writing- Bachelors Degree in Computer ScienceÂ Preferred Skills:- C and/or C++Â - Knowledge of one or more scripting languages- Experience with some type of version control tool, preferably a DVCS- Socket level messagingÂ Non-Technical Requirements:- Must be able to pass state and federal background checks for all states in the union- Willingness to travel throughout the United States as required (less than 20%)- Minimum 3 years relevant experience",4,76,10,0,24,22-NOV.  -20 00.00.00,000000000,560285
5,"DevOps Engineer","Midtown based high tech firm has an immediate needÂ for an innovative DevOps EngineerÂ to help define Dev / Ops related processes,Â build out the automation. Â In this position, the Dev / Ops EngineerÂ will need toÂ engineer technical solutions as well as perform process engineering. The ideal candidate has strong scripting skills for automation as well experience with configuration management, server deployment, and continuous integration and experience with tools such asÂ Chef, Puppet, etc. Â Must have experience with virtualization using VMware and Linux experience isÂ preferred.Â Â Experience withÂ GO, Docker, Ansible, Microservices, and the Cloud are highly desired.Â Â  This is a permanent position with an innovative technology firm in Midtown that offers excellent benefits including bleeding edge technology, very generous PTO, matching 401(k), high-tech office environment,Â casual dressÂ and a collaborative culture. Â Need is IMMEDIATE!! Â Â  Category: Developer / Architect -Other",7,47,1,0,3,22-DEC.  -09 00.00.00,000000000,767065
6,"SAP FICO Architect","We are looking for a Senior SAP FICO Architect to join us fulltime and support our ongoing projects and customers. Must have excellent Pre-sales experience.Consultant should be ready for 100% travel.Â If interested, Please send us your updated resume, best time and contact numbers to girish(dot)bandaru(at)yash(dot)com to discuss more on this opportunity.Â Thanks & RegardsÂ Girish BandaruYASH Technologies773-828-4341girish.bandaru@yash.com",51,20,5,1,4,22-OKT.  -21 00.00.00,000000000,798053
