id;kell_jogsi;munkatapasztalat_ev;egyeb_feltetelek
1;0;3;Aktív hallgatói jogviszony
2;1;1;Aktív hallgatói jogviszony
3;0;5;Szakképesítés
4;1;2;Legalább egy elõzõ munkahely
5;1;3;Legalább egy elõzõ munkahely
6;1;4;Érvényes számlaszám
7;0;4;
8;0;1;Legalább egy elõzõ munkahely
9;0;3;
10;1;1;
11;0;3;Szakképesítés
12;0;5;Aktív hallgatói jogviszony
13;1;1;Szakképesítés
14;0;1;
15;1;0;Érvényes számlaszám
16;1;3;Érvényes számlaszám
17;0;5;Érvényes számlaszám
18;1;0;Szakképesítés
19;1;3;
20;1;4;
21;0;0;Legalább egy elõzõ munkahely
22;0;2;Legalább egy elõzõ munkahely
23;0;0;Érvényes számlaszám
24;0;0;Aktív hallgatói jogviszony
25;1;0;Legalább egy elõzõ munkahely
26;0;4;Szakképesítés
27;0;2;Aktív hallgatói jogviszony
28;1;4;Legalább egy elõzõ munkahely
29;0;2;Érvényes számlaszám
30;0;3;Legalább egy elõzõ munkahely
31;0;4;Aktív hallgatói jogviszony
32;0;4;Legalább egy elõzõ munkahely
33;0;5;Legalább egy elõzõ munkahely
34;1;5;
35;1;1;Legalább egy elõzõ munkahely
36;1;5;Szakképesítés
37;0;1;Érvényes számlaszám
38;0;5;
39;0;2;Szakképesítés
40;1;4;Szakképesítés
41;1;3;Szakképesítés
42;0;1;Aktív hallgatói jogviszony
43;1;0;
44;1;2;
45;0;4;Érvényes számlaszám
46;0;3;Érvényes számlaszám
47;0;1;Szakképesítés
48;1;3;Aktív hallgatói jogviszony
