id;nev;varhato_befejezes
1;Állatorvostudományi Egyetem;2024
2;Bolyai János Gimnázium;2023
3;Kandó Kálmán Szakközépiskola;2025
4;Állatorvostudományi Egyetem;2026
5;Szegedi Tudományegyetem;2023
6;Szegedi Tudományegyetem;2026
7;Bolyai János Gimnázium;2024
8;Szegedi Tudományegyetem;2022
9;Kandó Kálmán Szakközépiskola;2023
10;Állatorvostudományi Egyetem;2027
11;Állatorvostudományi Egyetem;2022
12;Bolyai János Gimnázium;2024
13;Szegedi Tudományegyetem;2022
14;Kandó Kálmán Szakközépiskola;2025
15;Állatorvostudományi Egyetem;2026
