id;fiokadatok_id;vegzettseg_id;vallalat_id
1;2;50;
2;3;55;22
3;5;39;21
4;7;83;
5;8;8;
6;10;5;
7;11;11;12
8;12;81;
9;13;51;3
10;14;95;
11;15;67;
12;16;72;19
13;18;35;28
14;19;42;
15;20;82;20
16;21;25;
17;22;24;25
18;23;82;
19;26;64;14
20;28;47;
21;34;39;
22;35;10;28
23;37;49;
24;38;56;1
25;39;93;18
26;40;72;
27;41;36;6
28;42;70;
29;43;36;
30;45;59;5
31;47;64;30
32;48;14;20
33;49;9;
34;53;20;17
35;54;11;9
36;57;64;11
37;58;78;
38;59;8;4
39;61;24;25
40;65;84;21
41;66;12;7
42;67;12;
43;68;65;25
44;69;91;27
45;70;28;
46;71;93;22
47;72;17;10
48;73;37;
49;75;47;10
50;77;49;29
51;79;78;
52;80;55;11
53;82;24;13
54;84;21;
55;88;58;5
56;90;63;25
57;91;44;
58;94;37;1
59;95;37;26
60;96;20;17
61;99;70;
62;100;78;
63;102;69;11
64;104;43;
65;105;76;1
66;106;70;14
67;111;64;
68;112;21;25
69;113;68;22
70;115;55;4
71;116;56;18
